,video_name,tag
0,D:\Dataset\Exercises dataset\train/Arm Raise/000000.mp4,Arm Raise
1,D:\Dataset\Exercises dataset\train/Arm Raise/000001.mp4,Arm Raise
2,D:\Dataset\Exercises dataset\train/Arm Raise/000002.mp4,Arm Raise
3,D:\Dataset\Exercises dataset\train/Arm Raise/000003.mp4,Arm Raise
4,D:\Dataset\Exercises dataset\train/Arm Raise/000004.mp4,Arm Raise
5,D:\Dataset\Exercises dataset\train/Arm Raise/000005.mp4,Arm Raise
6,D:\Dataset\Exercises dataset\train/Arm Raise/000006.mp4,Arm Raise
7,D:\Dataset\Exercises dataset\train/Arm Raise/000007.mp4,Arm Raise
8,D:\Dataset\Exercises dataset\train/Arm Raise/000008.mp4,Arm Raise
9,D:\Dataset\Exercises dataset\train/Arm Raise/000009.mp4,Arm Raise
10,D:\Dataset\Exercises dataset\train/Arm Raise/000010.mp4,Arm Raise
11,D:\Dataset\Exercises dataset\train/Arm Raise/000011.mp4,Arm Raise
12,D:\Dataset\Exercises dataset\train/Arm Raise/000012.mp4,Arm Raise
13,D:\Dataset\Exercises dataset\train/Arm Raise/000013.mp4,Arm Raise
14,D:\Dataset\Exercises dataset\train/Arm Raise/000014.mp4,Arm Raise
15,D:\Dataset\Exercises dataset\train/Arm Raise/000015.mp4,Arm Raise
16,D:\Dataset\Exercises dataset\train/Arm Raise/000016.mp4,Arm Raise
17,D:\Dataset\Exercises dataset\train/Arm Raise/000017.mp4,Arm Raise
18,D:\Dataset\Exercises dataset\train/Arm Raise/000018.mp4,Arm Raise
19,D:\Dataset\Exercises dataset\train/Arm Raise/000019.mp4,Arm Raise
20,D:\Dataset\Exercises dataset\train/Arm Raise/000020.mp4,Arm Raise
21,D:\Dataset\Exercises dataset\train/Arm Raise/000021.mp4,Arm Raise
22,D:\Dataset\Exercises dataset\train/Arm Raise/000022.mp4,Arm Raise
23,D:\Dataset\Exercises dataset\train/Arm Raise/000023.mp4,Arm Raise
24,D:\Dataset\Exercises dataset\train/Arm Raise/000024.mp4,Arm Raise
25,D:\Dataset\Exercises dataset\train/Arm Raise/000025.mp4,Arm Raise
26,D:\Dataset\Exercises dataset\train/Arm Raise/000026.mp4,Arm Raise
27,D:\Dataset\Exercises dataset\train/Arm Raise/000027.mp4,Arm Raise
28,D:\Dataset\Exercises dataset\train/Arm Raise/000028.mp4,Arm Raise
29,D:\Dataset\Exercises dataset\train/Arm Raise/000029.mp4,Arm Raise
30,D:\Dataset\Exercises dataset\train/Arm Raise/000030.mp4,Arm Raise
31,D:\Dataset\Exercises dataset\train/Arm Raise/000031.mp4,Arm Raise
32,D:\Dataset\Exercises dataset\train/Arm Raise/000032.mp4,Arm Raise
33,D:\Dataset\Exercises dataset\train/Arm Raise/000033.mp4,Arm Raise
34,D:\Dataset\Exercises dataset\train/Arm Raise/000034.mp4,Arm Raise
35,D:\Dataset\Exercises dataset\train/Arm Raise/000035.mp4,Arm Raise
36,D:\Dataset\Exercises dataset\train/Arm Raise/000036.mp4,Arm Raise
37,D:\Dataset\Exercises dataset\train/Arm Raise/000037.mp4,Arm Raise
38,D:\Dataset\Exercises dataset\train/Arm Raise/000038.mp4,Arm Raise
39,D:\Dataset\Exercises dataset\train/Arm Raise/000039.mp4,Arm Raise
40,D:\Dataset\Exercises dataset\train/Arm Raise/000040.mp4,Arm Raise
41,D:\Dataset\Exercises dataset\train/Arm Raise/000041.mp4,Arm Raise
42,D:\Dataset\Exercises dataset\train/Arm Raise/000042.mp4,Arm Raise
43,D:\Dataset\Exercises dataset\train/Arm Raise/000043.mp4,Arm Raise
44,D:\Dataset\Exercises dataset\train/Arm Raise/000044.mp4,Arm Raise
45,D:\Dataset\Exercises dataset\train/Arm Raise/000045.mp4,Arm Raise
46,D:\Dataset\Exercises dataset\train/Arm Raise/000046.mp4,Arm Raise
47,D:\Dataset\Exercises dataset\train/Arm Raise/000047.mp4,Arm Raise
48,D:\Dataset\Exercises dataset\train/Arm Raise/000048.mp4,Arm Raise
49,D:\Dataset\Exercises dataset\train/Arm Raise/000049.mp4,Arm Raise
50,D:\Dataset\Exercises dataset\train/Arm Raise/000050.mp4,Arm Raise
51,D:\Dataset\Exercises dataset\train/Arm Raise/000051.mp4,Arm Raise
52,D:\Dataset\Exercises dataset\train/Arm Raise/000052.mp4,Arm Raise
53,D:\Dataset\Exercises dataset\train/Arm Raise/000053.mp4,Arm Raise
54,D:\Dataset\Exercises dataset\train/Arm Raise/000054.mp4,Arm Raise
55,D:\Dataset\Exercises dataset\train/Arm Raise/000055.mp4,Arm Raise
56,D:\Dataset\Exercises dataset\train/Arm Raise/000056.mp4,Arm Raise
57,D:\Dataset\Exercises dataset\train/Arm Raise/000057.mp4,Arm Raise
58,D:\Dataset\Exercises dataset\train/Arm Raise/000058.mp4,Arm Raise
59,D:\Dataset\Exercises dataset\train/Arm Raise/000059.mp4,Arm Raise
